UTC_time,House overall [kW],Price ($/MWh),use [kW],gen [kW]
2016-01-06 23:53:20,0.29616666700000005,20.9,0.300416667,0.00425
2016-01-06 23:53:21,0.28155,20.9,0.2858,0.00425
2016-01-06 23:53:22,0.314683333,20.9,0.318933333,0.00425
2016-01-06 23:53:23,0.314133334,20.9,0.318366667,0.004233333
2016-01-06 23:53:24,0.313416667,20.9,0.31765,0.004233333
2016-01-06 23:53:25,0.282416667,20.9,0.28665,0.004233333
2016-01-06 23:53:26,0.41516666700000004,20.9,0.419416667,0.00425
2016-01-06 23:53:27,0.7464000000000001,20.9,0.750633333,0.004233333
2016-01-06 23:53:28,0.97205,20.9,0.976266667,0.004216667
2016-01-06 23:53:29,1.007383334,20.9,1.011616667,0.004233333
2016-01-06 23:53:30,0.984383333,20.9,0.9886,0.004216667
2016-01-06 23:53:31,0.923616666,20.9,0.927833333,0.004216667
2016-01-06 23:53:32,0.707816666,20.9,0.712033333,0.004216667
2016-01-06 23:53:33,0.43,20.9,0.434233333,0.004233333
2016-01-06 23:53:34,0.7533000000000001,20.9,0.757533333,0.004233333
2016-01-06 23:53:35,0.7499833340000001,20.9,0.754216667,0.004233333
2016-01-06 23:53:36,0.7478,20.9,0.752016667,0.004216667
2016-01-06 23:53:37,0.7018000000000001,20.9,0.706033333,0.004233333
2016-01-06 23:53:38,0.631383333,20.9,0.635633333,0.00425
2016-01-06 23:53:39,0.28865,20.9,0.292866667,0.004216667
2016-01-06 23:53:40,0.421633333,20.9,0.42585,0.004216667
2016-01-06 23:53:41,0.817433333,20.9,0.821633333,0.0042
2016-01-06 23:53:42,0.969716667,20.9,0.973916667,0.0042
2016-01-06 23:53:43,0.989433333,20.9,0.993633333,0.0042
2016-01-06 23:53:44,0.9240166670000001,20.9,0.92825,0.004233333
2016-01-06 23:53:45,0.8887666670000001,20.9,0.892966667,0.0042
2016-01-06 23:53:46,0.405716667,20.9,0.40995,0.004233333
2016-01-06 23:53:47,0.322666667,20.9,0.326916667,0.00425
2016-01-06 23:53:48,0.352166666,20.9,0.356433333,0.004266667
2016-01-06 23:53:49,0.699016667,20.9,0.703266667,0.00425
2016-01-06 23:53:50,0.7501000000000001,20.9,0.754333333,0.004233333
2016-01-06 23:53:51,0.747083333,20.9,0.7513,0.004216667
2016-01-06 23:53:52,0.7039,20.9,0.708116667,0.004216667
2016-01-06 23:53:53,0.7395833340000001,20.9,0.743816667,0.004233333
2016-01-06 23:53:54,0.6490833340000001,20.9,0.653316667,0.004233333
2016-01-06 23:53:55,0.972833333,20.9,0.977033333,0.0042
2016-01-06 23:53:56,0.991366667,20.9,0.995566667,0.0042
2016-01-06 23:53:57,0.9613,20.9,0.9655,0.0042
2016-01-06 23:53:58,0.95835,20.9,0.962566667,0.004216667
2016-01-06 23:53:59,0.9542666670000001,20.9,0.958466667,0.0042
2016-01-06 23:54:00,0.957916667,20.9,0.962116667,0.0042
2016-01-06 23:54:01,0.9548833330000001,20.9,0.959083333,0.0042
2016-01-06 23:54:02,1.0653,20.9,1.0695,0.0042
2016-01-06 23:54:03,1.1277,20.9,1.1319,0.0042
2016-01-06 23:54:04,1.120133333,20.9,1.124333333,0.0042
2016-01-06 23:54:05,1.118716666,20.9,1.122883333,0.004166667
2016-01-06 23:54:06,1.119916667,20.9,1.12415,0.004233333
2016-01-06 23:54:07,1.113666667,20.9,1.11785,0.004183333
